,inv_num,date_year,date_winter,date_month,date_Monday,date_Saturday,date_Sunday,date_Thursday,date_Tuesday,date_Wednesday,date_morning,date_afternoon,date_evening,loc_latitude,loc_longitude,loc_North York,loc_Scarborough,loc_Toronto and East York,loc_Bay Street Corridor (76),loc_Rouge (131),loc_Waterfront Communities-The Island (77),loc_West Humber-Clairville (1),loc_Wexford/Maryvale (119),loc_Woburn (137),loc_dundas,loc_steeles,loc_finch,loc_lawrence,loc_lake shore,loc_queen,loc_clair,loc_sheppard,loc_bloor,loc_gardiner,loc_victoria,loc_don mills,loc_don valley,loc_king,env_no_traffic_control,env_intersection,env_major_arterial,env_daylight,env_precipitation,inv_cyclist,inv_pedestrian,inv_automobile,inv_passenger,inv_injury_level,inv_fatal_acc,cau_normal,cau_inattentive,cau_driving_properly,cau_failed_to_yield_row,cau_speeding,cau_agressive_driv,cau_going_ahead,cau_turning_left
0,2,2006,1,3,0,1,0,0,0,0,1,0,0,43.656345,-79.45249,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.6,0,1,1,0,0,1,0,0,0,1,0,1,0,1
1,2,2006,1,3,0,1,0,0,0,0,1,0,0,43.656345,-79.45249,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.6,0,1,1,0,3,1,0,0,0,0,0,1,0,0
2,2,2006,1,3,0,1,0,0,0,0,1,0,0,43.801943,-79.199786,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1.6,0,0,1,0,3,1,0,0,0,0,0,1,0,0
3,2,2006,1,3,0,1,0,0,0,0,1,0,0,43.801943,-79.199786,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1.6,0,0,1,0,0,1,0,0,1,0,0,1,1,0
4,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.734945,-79.25619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18.2,0,1,1,0,0,1,0,0,0,0,0,0,1,0
5,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.734945,-79.25619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18.2,0,1,1,0,1,1,1,0,0,0,0,0,0,0
6,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.734945,-79.25619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18.2,0,1,1,0,3,1,1,0,0,0,0,0,0,0
7,2,2006,1,3,0,0,1,0,0,0,0,0,1,43.649345,-79.42079,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18.2,0,1,1,0,0,0,0,0,0,1,0,1,0,1
8,2,2006,1,3,0,0,1,0,0,0,0,0,1,43.649345,-79.42079,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18.2,0,1,1,0,2,0,1,0,0,0,0,1,0,0
9,2,2006,1,3,0,0,0,0,0,1,0,1,0,43.697045,-79.54669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
10,2,2006,1,3,0,0,0,0,0,1,0,1,0,43.697045,-79.54669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,1,1,0,3,1,1,0,0,0,0,0,0,0
11,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
12,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
13,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
14,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,1,0,1,0,1,0,0,1,1,0
15,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,1,0,1,0,0,1,0,1
16,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
17,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
18,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
19,9,2006,1,3,0,0,0,1,0,0,1,0,0,43.816245,-79.31449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,1,0,0,0,0,1,1,0
20,2,2006,1,3,0,0,0,1,0,0,0,0,1,43.658145,-79.37239,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
21,2,2006,1,3,0,0,0,1,0,0,0,0,1,43.658145,-79.37239,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,1,1,0,2,0,0,0,0,0,0,1,0,0
22,2,2006,1,3,0,0,0,0,0,0,1,0,0,43.663945,-79.45049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
23,2,2006,1,3,0,0,0,0,0,0,1,0,0,43.663945,-79.45049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,1,0,2,0,1,0,0,0,0,1,0,0
24,2,2006,1,3,0,0,0,0,0,0,0,1,0,43.665145,-79.41129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
25,2,2006,1,3,0,0,0,0,0,0,0,1,0,43.665145,-79.41129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.0,0,1,1,0,2,0,0,1,0,0,0,0,0,0
26,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
27,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
28,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
29,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
30,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
31,6,2006,1,3,0,1,0,0,0,0,0,0,0,43.774945,-79.40429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,1,1,0,1,0,1,0,0,1,1,0
32,2,2006,1,3,0,1,0,0,0,0,0,0,0,43.783345,-79.48669,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
33,2,2006,1,3,0,1,0,0,0,0,0,0,0,43.783345,-79.48669,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1,0,2,0,0,0,0,1,1,1,0,0
34,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.674445,-79.45869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1,1,2,0,0,0,0,0,1,1,0,0
35,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.674445,-79.45869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
36,3,2006,1,3,0,0,1,0,0,0,0,0,0,43.674445,-79.45869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
37,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,1,0,1,0,0,1,0,0
38,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
39,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
40,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
41,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,2,0,1,0,1,0,0,1,1,0
42,6,2006,1,3,0,0,1,0,0,0,0,0,1,43.819645,-79.32439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
43,2,2006,1,3,1,0,0,0,0,0,1,0,0,43.783845,-79.23179,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
